Video Name,Frame ID,Object ID,Class ID,Class Name,Confidence,BoundingBox_X,BoundingBox_Y,BoundingBox_Width,BoundingBox_Height
Airplane_Solo - parado_46.mp4,9603.0,1,4.0,airplane,0.272705078125,0.0625,534.0,93.5625,28.0
Airplane_Solo - parado_46.mp4,9604.0,1,4.0,airplane,0.2802734375,0.03125,534.0,93.46875,28.0
Airplane_Solo - parado_46.mp4,9605.0,1,4.0,airplane,0.259521484375,0.09375,534.0,93.40625,28.0
Airplane_Solo - parado_46.mp4,9606.0,1,4.0,airplane,0.27587890625,0.03125,534.0,94.28125,28.0
Airplane_Solo - parado_46.mp4,9607.0,1,4.0,airplane,0.25634765625,0.03125,534.0,94.46875,28.0
Airplane_Solo - parado_46.mp4,9608.0,1,4.0,airplane,0.262939453125,0.03125,534.0,94.34375,28.0
Airplane_Solo - parado_46.mp4,9609.0,1,4.0,airplane,0.256103515625,0.03125,534.0,94.34375,28.0
Airplane_Solo - parado_46.mp4,9611.0,1,4.0,airplane,0.2783203125,0.0,534.0,93.875,28.0
Airplane_Solo - parado_46.mp4,9612.0,1,4.0,airplane,0.2705078125,0.0,534.0,93.75,28.0
Airplane_Solo - parado_46.mp4,9613.0,1,4.0,airplane,0.260986328125,0.0,533.5,93.875,28.5
Airplane_Solo - parado_46.mp4,9614.0,1,4.0,airplane,0.256103515625,0.0,533.5,94.0,28.5
Airplane_Solo - parado_46.mp4,9615.0,1,4.0,airplane,0.25830078125,0.0,533.5,93.5,28.5
Airplane_Solo - parado_46.mp4,9616.0,1,4.0,airplane,0.26025390625,0.0,533.5,93.25,28.5
Airplane_Solo - parado_46.mp4,9617.0,1,4.0,airplane,0.260498046875,0.0,533.5,93.25,28.5
Airplane_Solo - parado_46.mp4,9618.0,1,4.0,airplane,0.269287109375,0.0,534.0,93.125,28.0
Airplane_Solo - parado_46.mp4,9619.0,1,4.0,airplane,0.26904296875,-0.03125,534.0,93.03125,28.0
Airplane_Solo - parado_46.mp4,9620.0,1,4.0,airplane,0.264404296875,0.0,534.0,93.0,28.0
Airplane_Solo - parado_46.mp4,9621.0,1,4.0,airplane,0.255615234375,0.03125,533.5,94.21875,28.5
Airplane_Solo - parado_46.mp4,9683.0,1,4.0,airplane,0.2587890625,0.03125,534.0,93.84375,28.0
Airplane_Solo - parado_46.mp4,9684.0,1,4.0,airplane,0.251220703125,0.0625,534.0,93.6875,28.0
Airplane_Solo - parado_46.mp4,9686.0,1,4.0,airplane,0.265380859375,0.03125,534.0,93.28125,28.0
Airplane_Solo - parado_46.mp4,9687.0,1,4.0,airplane,0.264404296875,0.0625,534.0,93.1875,28.0
Airplane_Solo - parado_46.mp4,9716.0,1,4.0,airplane,0.25830078125,0.09375,534.0,93.53125,28.0
Airplane_Solo - parado_46.mp4,9721.0,1,4.0,airplane,0.254638671875,0.03125,533.5,94.15625,28.5
Airplane_Solo - parado_46.mp4,9725.0,1,4.0,airplane,0.259765625,0.0,533.5,93.75,28.5
