Video Name,Frame ID,Object ID,Class ID,Class Name,Confidence,BoundingBox_X,BoundingBox_Y,BoundingBox_Width,BoundingBox_Height
guarulhos (52).mp4,28802.0,2,4.0,airplane,0.31396484375,387.25,487.5,62.0,19.0
guarulhos (52).mp4,28805.0,2,4.0,airplane,0.290283203125,385.75,486.25,61.5,20.5
guarulhos (52).mp4,28806.0,2,4.0,airplane,0.25830078125,384.0,486.0,62.5,20.75
guarulhos (52).mp4,28807.0,2,4.0,airplane,0.2841796875,384.25,486.25,62.25,20.5
guarulhos (52).mp4,28808.0,1,4.0,airplane,0.291015625,383.25,486.5,63.5,20.0
guarulhos (52).mp4,28809.0,1,4.0,airplane,0.38671875,383.0,486.0,63.75,20.5
guarulhos (52).mp4,28810.0,1,4.0,airplane,0.35009765625,381.5,486.25,62.0,20.0
guarulhos (52).mp4,28812.0,1,4.0,airplane,0.362060546875,379.75,488.25,62.25,18.25
guarulhos (52).mp4,28813.0,1,4.0,airplane,0.37939453125,379.75,488.0,62.25,18.5
guarulhos (52).mp4,28814.0,1,4.0,airplane,0.29541015625,379.25,486.5,63.25,20.0
guarulhos (52).mp4,28815.0,1,4.0,airplane,0.391357421875,378.5,487.25,64.25,19.5
guarulhos (52).mp4,28816.0,1,4.0,airplane,0.33203125,377.75,487.5,63.25,19.0
guarulhos (52).mp4,28817.0,1,4.0,airplane,0.362060546875,376.75,487.5,63.75,18.75
guarulhos (52).mp4,28818.0,1,4.0,airplane,0.357666015625,376.25,488.0,63.0,18.5
guarulhos (52).mp4,28819.0,1,4.0,airplane,0.37060546875,376.25,488.0,63.0,18.5
guarulhos (52).mp4,28820.0,1,4.0,airplane,0.380859375,376.0,487.75,63.5,18.75
guarulhos (52).mp4,28821.0,1,4.0,airplane,0.402587890625,375.5,487.0,64.75,19.5
guarulhos (52).mp4,28822.0,1,4.0,airplane,0.325439453125,374.5,487.25,66.0,19.25
guarulhos (52).mp4,28839.0,1,4.0,airplane,0.26318359375,363.75,488.5,62.75,18.25
guarulhos (52).mp4,28841.0,1,4.0,airplane,0.259033203125,361.5,488.75,62.25,17.75
guarulhos (52).mp4,28844.0,1,4.0,airplane,0.26318359375,360.25,488.5,61.75,18.25
guarulhos (52).mp4,28845.0,1,4.0,airplane,0.417724609375,360.25,489.0,61.5,17.75
guarulhos (52).mp4,28846.0,1,4.0,airplane,0.28173828125,358.75,488.5,62.0,18.25
guarulhos (52).mp4,28847.0,1,4.0,airplane,0.454345703125,358.0,488.75,61.5,18.0
guarulhos (52).mp4,28848.0,1,4.0,airplane,0.394287109375,357.75,488.5,61.25,18.25
guarulhos (52).mp4,28849.0,1,4.0,airplane,0.43115234375,357.75,488.5,61.25,18.25
guarulhos (52).mp4,28853.0,1,4.0,airplane,0.307373046875,353.75,488.5,63.25,18.25
guarulhos (52).mp4,28856.0,1,4.0,airplane,0.27392578125,353.25,488.0,62.0,19.0
guarulhos (52).mp4,28857.0,1,4.0,airplane,0.3037109375,352.0,488.25,62.75,18.25
guarulhos (52).mp4,28858.0,1,4.0,airplane,0.3701171875,351.5,488.0,62.25,18.75
guarulhos (52).mp4,28874.0,1,4.0,airplane,0.2509765625,342.0,488.0,61.5,19.0
guarulhos (52).mp4,28875.0,1,4.0,airplane,0.32763671875,341.5,487.5,61.5,19.5
guarulhos (52).mp4,28876.0,1,4.0,airplane,0.342041015625,340.5,487.75,61.0,19.0
guarulhos (52).mp4,28877.0,1,4.0,airplane,0.33447265625,339.5,487.75,61.25,18.75
guarulhos (52).mp4,28878.0,1,4.0,airplane,0.26220703125,339.0,487.5,62.0,19.0
guarulhos (52).mp4,28879.0,1,4.0,airplane,0.26025390625,339.0,487.5,61.75,19.0
guarulhos (52).mp4,28881.0,1,4.0,airplane,0.26025390625,336.5,487.75,63.25,18.5
guarulhos (52).mp4,28883.0,1,4.0,airplane,0.412109375,335.75,487.75,62.75,18.5
guarulhos (52).mp4,28884.0,1,4.0,airplane,0.436767578125,335.75,487.5,62.0,18.75
guarulhos (52).mp4,28885.0,1,4.0,airplane,0.41259765625,335.75,487.75,61.5,18.5
guarulhos (52).mp4,28886.0,1,4.0,airplane,0.46142578125,335.25,487.0,61.5,19.25
guarulhos (52).mp4,28887.0,1,4.0,airplane,0.5400390625,335.0,487.5,60.75,18.75
guarulhos (52).mp4,28888.0,1,4.0,airplane,0.48828125,334.0,487.25,61.25,19.0
guarulhos (52).mp4,28889.0,1,4.0,airplane,0.369384765625,333.25,487.75,61.5,18.5
guarulhos (52).mp4,28890.0,1,4.0,airplane,0.33642578125,331.75,488.25,61.75,17.75
guarulhos (52).mp4,28891.0,1,4.0,airplane,0.323486328125,331.75,488.25,61.75,17.75
guarulhos (52).mp4,28892.0,1,4.0,airplane,0.3701171875,331.0,488.0,61.25,18.0
guarulhos (52).mp4,28893.0,1,4.0,airplane,0.266357421875,331.0,488.5,60.75,18.0
guarulhos (52).mp4,28894.0,1,4.0,airplane,0.273681640625,330.5,488.25,61.0,18.25
guarulhos (52).mp4,28895.0,1,4.0,airplane,0.3447265625,327.0,488.5,63.5,17.75
guarulhos (52).mp4,28896.0,1,4.0,airplane,0.3212890625,327.0,488.5,63.5,18.0
guarulhos (52).mp4,28897.0,1,4.0,airplane,0.329345703125,327.0,488.5,63.5,17.75
guarulhos (52).mp4,28901.0,1,4.0,airplane,0.31396484375,325.5,488.0,62.0,18.0
guarulhos (52).mp4,28905.0,1,4.0,airplane,0.303955078125,322.75,488.0,62.75,17.75
guarulhos (52).mp4,28908.0,1,4.0,airplane,0.267333984375,320.75,487.75,62.5,18.0
guarulhos (52).mp4,28909.0,1,4.0,airplane,0.271240234375,321.0,487.75,62.5,18.0
guarulhos (52).mp4,28910.0,1,4.0,airplane,0.325927734375,320.0,487.75,62.25,18.0
guarulhos (52).mp4,28911.0,1,4.0,airplane,0.31396484375,319.75,487.75,61.5,18.0
guarulhos (52).mp4,28928.0,1,4.0,airplane,0.291015625,309.5,488.25,60.75,17.5
guarulhos (52).mp4,28929.0,1,4.0,airplane,0.26318359375,309.25,488.25,60.75,17.5
