Video Name,Frame ID,Object ID,Class ID,Class Name,Confidence,BoundingBox_X,BoundingBox_Y,BoundingBox_Width,BoundingBox_Height
Airplane_Voando - direita_1.mp4,4823.0,1,4.0,airplane,0.298583984375,303.25,302.25,44.0,22.0
Airplane_Voando - direita_1.mp4,4835.0,1,4.0,airplane,0.285400390625,330.25,297.75,42.25,23.75
Airplane_Voando - direita_1.mp4,4836.0,1,4.0,airplane,0.258056640625,329.0,295.25,42.75,24.5
Airplane_Voando - direita_1.mp4,4837.0,1,4.0,airplane,0.307373046875,331.0,297.75,42.75,24.75
Airplane_Voando - direita_1.mp4,4838.0,1,4.0,airplane,0.2666015625,333.0,297.75,43.0,24.0
Airplane_Voando - direita_1.mp4,4839.0,1,4.0,airplane,0.25048828125,336.75,295.75,41.5,24.25
Airplane_Voando - direita_1.mp4,4840.0,1,4.0,airplane,0.290283203125,338.75,295.0,42.25,24.75
Airplane_Voando - direita_1.mp4,4841.0,1,4.0,airplane,0.26708984375,340.75,295.5,42.5,24.75
Airplane_Voando - direita_1.mp4,4847.0,1,4.0,airplane,0.278564453125,352.5,297.5,34.75,23.25
Airplane_Voando - direita_1.mp4,4848.0,1,4.0,airplane,0.294189453125,353.5,296.75,35.5,23.0
Airplane_Voando - direita_1.mp4,4853.0,1,4.0,airplane,0.26708984375,357.0,292.5,53.75,28.75
Airplane_Voando - direita_1.mp4,4862.0,1,4.0,airplane,0.294677734375,375.5,288.75,52.25,38.5
Airplane_Voando - direita_1.mp4,5019.0,1,4.0,airplane,0.253173828125,761.5,313.0,39.0,15.25
Airplane_Voando - direita_1.mp4,5021.0,1,4.0,airplane,0.37353515625,765.5,313.75,34.5,14.75
Airplane_Voando - direita_1.mp4,5022.0,1,4.0,airplane,0.4287109375,764.0,313.25,34.5,15.75
Airplane_Voando - direita_1.mp4,5023.0,1,4.0,airplane,0.417236328125,765.0,313.25,35.0,15.75
Airplane_Voando - direita_1.mp4,5024.0,1,4.0,airplane,0.48388671875,769.5,316.75,30.5,14.5
Airplane_Voando - direita_1.mp4,5025.0,1,4.0,airplane,0.46533203125,770.0,317.0,30.0,14.0
Airplane_Voando - direita_1.mp4,5026.0,1,4.0,airplane,0.42626953125,768.0,317.5,31.0,14.0
Airplane_Voando - direita_1.mp4,5027.0,1,4.0,airplane,0.417236328125,768.5,316.25,31.5,14.0
Airplane_Voando - direita_1.mp4,5028.0,1,4.0,airplane,0.42578125,766.0,317.5,30.0,14.5
Airplane_Voando - direita_1.mp4,5029.0,1,4.0,airplane,0.33984375,766.5,319.75,31.5,11.75
Airplane_Voando - direita_1.mp4,5030.0,1,4.0,airplane,0.31396484375,767.5,317.75,30.5,10.75
Airplane_Voando - direita_1.mp4,5031.0,1,4.0,airplane,0.277099609375,763.5,318.5,35.5,14.0
Airplane_Voando - direita_1.mp4,5032.0,1,4.0,airplane,0.332763671875,760.5,315.5,37.0,13.25
Airplane_Voando - direita_1.mp4,5033.0,1,4.0,airplane,0.319580078125,761.0,318.5,35.5,13.0
Airplane_Voando - direita_1.mp4,5034.0,1,4.0,airplane,0.33447265625,761.5,318.5,35.0,13.0
Airplane_Voando - direita_1.mp4,5035.0,1,4.0,airplane,0.307373046875,759.5,320.75,36.0,13.75
Airplane_Voando - direita_1.mp4,5036.0,1,4.0,airplane,0.2685546875,760.0,322.5,34.0,12.25
Airplane_Voando - direita_1.mp4,5045.0,1,4.0,airplane,0.298583984375,742.0,317.5,39.0,18.5
