Video Name,Frame ID,Object ID,Class ID,Class Name,Confidence,BoundingBox_X,BoundingBox_Y,BoundingBox_Width,BoundingBox_Height
Airplane_Voando - tráss_4.mp4,1201.0,1,4.0,airplane,0.27587890625,129.5,185.875,69.25,22.375
Airplane_Voando - tráss_4.mp4,1202.0,1,4.0,airplane,0.60693359375,128.5,186.5,69.75,22.0
Airplane_Voando - tráss_4.mp4,1203.0,1,4.0,airplane,0.6416015625,129.5,186.25,68.75,22.625
Airplane_Voando - tráss_4.mp4,1204.0,1,4.0,airplane,0.46923828125,129.375,187.0,72.375,22.0
Airplane_Voando - tráss_4.mp4,1205.0,1,4.0,airplane,0.5390625,130.125,186.375,69.75,22.375
Airplane_Voando - tráss_4.mp4,1206.0,2,4.0,airplane,0.294921875,131.25,187.375,72.0,22.125
Airplane_Voando - tráss_4.mp4,1207.0,1,4.0,airplane,0.462890625,131.625,187.375,71.25,21.125
Airplane_Voando - tráss_4.mp4,1208.0,1,4.0,airplane,0.541015625,133.625,187.375,69.125,22.5
Airplane_Voando - tráss_4.mp4,1209.0,1,4.0,airplane,0.494140625,135.125,187.125,69.375,22.0
Airplane_Voando - tráss_4.mp4,1210.0,1,4.0,airplane,0.6396484375,136.25,188.25,73.125,21.125
Airplane_Voando - tráss_4.mp4,1211.0,1,4.0,airplane,0.517578125,136.125,187.25,70.625,22.125
Airplane_Voando - tráss_4.mp4,1212.0,1,4.0,airplane,0.71484375,139.125,188.625,68.625,21.875
Airplane_Voando - tráss_4.mp4,1213.0,1,4.0,airplane,0.56982421875,139.25,187.25,69.375,21.25
Airplane_Voando - tráss_4.mp4,1214.0,1,4.0,airplane,0.5263671875,140.0,187.5,71.375,23.5
Airplane_Voando - tráss_4.mp4,1215.0,1,4.0,airplane,0.73779296875,142.375,187.5,68.75,22.25
Airplane_Voando - tráss_4.mp4,1216.0,1,4.0,airplane,0.57470703125,143.75,189.5,69.5,20.75
Airplane_Voando - tráss_4.mp4,1217.0,1,4.0,airplane,0.57861328125,144.875,188.25,69.625,22.375
Airplane_Voando - tráss_4.mp4,1218.0,1,4.0,airplane,0.609375,146.125,189.0,69.0,21.5
Airplane_Voando - tráss_4.mp4,1219.0,1,4.0,airplane,0.74462890625,146.375,190.0,70.125,21.25
Airplane_Voando - tráss_4.mp4,1220.0,1,4.0,airplane,0.62353515625,147.5,190.125,70.0,20.875
Airplane_Voando - tráss_4.mp4,1221.0,1,4.0,airplane,0.640625,148.0,190.375,71.0,21.375
Airplane_Voando - tráss_4.mp4,1222.0,1,4.0,airplane,0.5947265625,149.0,190.875,70.75,21.875
Airplane_Voando - tráss_4.mp4,1223.0,1,4.0,airplane,0.6689453125,150.375,191.375,70.75,21.625
Airplane_Voando - tráss_4.mp4,1224.0,1,4.0,airplane,0.6494140625,151.5,191.25,69.75,21.5
Airplane_Voando - tráss_4.mp4,1225.0,1,4.0,airplane,0.52294921875,152.75,191.625,71.125,22.125
Airplane_Voando - tráss_4.mp4,1226.0,1,4.0,airplane,0.583984375,154.375,191.625,71.125,21.875
Airplane_Voando - tráss_4.mp4,1227.0,2,4.0,airplane,0.2958984375,154.625,192.25,71.375,21.5
Airplane_Voando - tráss_4.mp4,1228.0,1,4.0,airplane,0.404052734375,157.625,192.25,68.625,21.375
Airplane_Voando - tráss_4.mp4,1229.0,1,4.0,airplane,0.37744140625,159.625,193.125,69.0,20.875
Airplane_Voando - tráss_4.mp4,1230.0,1,4.0,airplane,0.47314453125,161.25,192.375,69.125,21.875
Airplane_Voando - tráss_4.mp4,1232.0,1,4.0,airplane,0.47705078125,161.625,194.125,70.625,20.375
Airplane_Voando - tráss_4.mp4,1233.0,1,4.0,airplane,0.349609375,164.125,194.125,70.125,19.875
Airplane_Voando - tráss_4.mp4,1234.0,1,4.0,airplane,0.254638671875,162.0,194.0,72.625,20.375
Airplane_Voando - tráss_4.mp4,1236.0,1,4.0,airplane,0.334228515625,167.125,194.25,70.625,20.25
Airplane_Voando - tráss_4.mp4,1237.0,1,4.0,airplane,0.384521484375,164.125,193.875,75.75,21.125
Airplane_Voando - tráss_4.mp4,1238.0,1,4.0,airplane,0.466796875,164.75,195.125,74.75,20.75
Airplane_Voando - tráss_4.mp4,1239.0,1,4.0,airplane,0.437744140625,167.375,195.125,73.875,20.625
Airplane_Voando - tráss_4.mp4,1240.0,1,4.0,airplane,0.47607421875,167.875,196.0,73.0,20.375
Airplane_Voando - tráss_4.mp4,1241.0,1,4.0,airplane,0.333251953125,170.25,196.0,71.25,20.125
Airplane_Voando - tráss_4.mp4,1242.0,1,4.0,airplane,0.281005859375,166.0,195.875,76.25,21.625
Airplane_Voando - tráss_4.mp4,1243.0,1,4.0,airplane,0.3603515625,170.75,195.875,73.375,20.625
Airplane_Voando - tráss_4.mp4,1244.0,1,4.0,airplane,0.29345703125,167.75,196.625,78.0,21.125
Airplane_Voando - tráss_4.mp4,1245.0,1,4.0,airplane,0.42431640625,171.0,196.625,76.75,20.625
Airplane_Voando - tráss_4.mp4,1246.0,1,4.0,airplane,0.5107421875,172.25,198.0,77.0,21.625
Airplane_Voando - tráss_4.mp4,1247.0,1,4.0,airplane,0.312255859375,172.75,197.75,78.75,20.625
Airplane_Voando - tráss_4.mp4,1248.0,1,4.0,airplane,0.35986328125,173.125,198.75,79.875,20.875
Airplane_Voando - tráss_4.mp4,1249.0,1,4.0,airplane,0.77978515625,176.0,195.75,80.5,23.0
Airplane_Voando - tráss_4.mp4,1250.0,1,4.0,airplane,0.62158203125,176.375,199.125,78.5,20.625
Airplane_Voando - tráss_4.mp4,1251.0,1,4.0,airplane,0.7392578125,177.375,197.125,78.625,21.5
Airplane_Voando - tráss_4.mp4,1252.0,1,4.0,airplane,0.5419921875,176.75,200.5,80.0,21.375
Airplane_Voando - tráss_4.mp4,1253.0,1,4.0,airplane,0.7080078125,179.75,198.625,78.0,21.75
Airplane_Voando - tráss_4.mp4,1254.0,1,4.0,airplane,0.75,179.5,201.375,79.75,22.125
Airplane_Voando - tráss_4.mp4,1255.0,1,4.0,airplane,0.77587890625,178.5,199.25,80.75,22.125
Airplane_Voando - tráss_4.mp4,1256.0,1,4.0,airplane,0.55859375,180.25,202.0,80.75,21.625
Airplane_Voando - tráss_4.mp4,1257.0,1,4.0,airplane,0.72509765625,181.0,199.75,80.75,22.25
Airplane_Voando - tráss_4.mp4,1258.0,1,4.0,airplane,0.388671875,183.75,202.0,80.0,23.5
Airplane_Voando - tráss_4.mp4,1259.0,1,4.0,airplane,0.4794921875,183.0,201.5,80.5,21.0
Airplane_Voando - tráss_4.mp4,1260.0,1,4.0,airplane,0.5185546875,184.625,202.375,80.625,22.0
Airplane_Voando - tráss_4.mp4,1261.0,1,4.0,airplane,0.474609375,185.0,202.25,81.0,22.125
Airplane_Voando - tráss_4.mp4,1262.0,1,4.0,airplane,0.63427734375,184.75,202.5,82.75,22.625
Airplane_Voando - tráss_4.mp4,1263.0,1,4.0,airplane,0.4638671875,185.75,202.375,81.5,22.25
Airplane_Voando - tráss_4.mp4,1264.0,1,4.0,airplane,0.67724609375,190.5,202.625,79.0,22.75
Airplane_Voando - tráss_4.mp4,1265.0,1,4.0,airplane,0.56396484375,191.375,202.75,77.875,22.875
Airplane_Voando - tráss_4.mp4,1266.0,1,4.0,airplane,0.6591796875,192.25,203.0,78.25,22.5
Airplane_Voando - tráss_4.mp4,1267.0,1,4.0,airplane,0.63134765625,192.625,203.875,78.625,23.125
Airplane_Voando - tráss_4.mp4,1268.0,1,4.0,airplane,0.6611328125,191.5,203.625,80.5,23.0
Airplane_Voando - tráss_4.mp4,1269.0,1,4.0,airplane,0.615234375,195.25,203.75,77.5,23.0
Airplane_Voando - tráss_4.mp4,1270.0,1,4.0,airplane,0.77099609375,193.625,203.625,80.375,22.875
Airplane_Voando - tráss_4.mp4,1271.0,1,4.0,airplane,0.60546875,193.625,204.25,79.875,23.25
Airplane_Voando - tráss_4.mp4,1272.0,1,4.0,airplane,0.6171875,194.125,203.75,80.875,24.0
Airplane_Voando - tráss_4.mp4,1273.0,1,4.0,airplane,0.5859375,195.625,204.25,79.375,24.5
Airplane_Voando - tráss_4.mp4,1274.0,1,4.0,airplane,0.57666015625,197.0,204.125,80.0,22.875
Airplane_Voando - tráss_4.mp4,1275.0,1,4.0,airplane,0.72265625,199.0,204.75,79.5,23.0
Airplane_Voando - tráss_4.mp4,1276.0,1,4.0,airplane,0.65673828125,199.25,204.125,79.5,22.875
Airplane_Voando - tráss_4.mp4,1277.0,1,4.0,airplane,0.6826171875,200.5,204.375,79.75,22.875
Airplane_Voando - tráss_4.mp4,1278.0,1,4.0,airplane,0.693359375,201.375,204.625,80.375,22.625
Airplane_Voando - tráss_4.mp4,1279.0,1,4.0,airplane,0.78271484375,203.625,205.375,78.875,22.625
Airplane_Voando - tráss_4.mp4,1280.0,1,4.0,airplane,0.72021484375,204.75,205.375,78.0,22.5
Airplane_Voando - tráss_4.mp4,1281.0,1,4.0,airplane,0.68994140625,204.0,205.25,79.25,22.375
Airplane_Voando - tráss_4.mp4,1282.0,1,4.0,airplane,0.77880859375,205.375,206.0,79.625,22.5
Airplane_Voando - tráss_4.mp4,1283.0,1,4.0,airplane,0.7939453125,206.0,206.125,80.0,22.875
Airplane_Voando - tráss_4.mp4,1284.0,1,4.0,airplane,0.763671875,206.0,206.625,79.5,22.625
Airplane_Voando - tráss_4.mp4,1285.0,1,4.0,airplane,0.66259765625,207.125,207.5,79.375,21.625
Airplane_Voando - tráss_4.mp4,1286.0,1,4.0,airplane,0.80322265625,207.75,207.625,79.5,22.875
Airplane_Voando - tráss_4.mp4,1287.0,1,4.0,airplane,0.7529296875,208.75,208.75,80.5,21.5
Airplane_Voando - tráss_4.mp4,1288.0,1,4.0,airplane,0.708984375,209.625,209.125,80.375,21.75
Airplane_Voando - tráss_4.mp4,1289.0,1,4.0,airplane,0.7216796875,211.25,208.25,79.5,23.25
Airplane_Voando - tráss_4.mp4,1290.0,1,4.0,airplane,0.71240234375,211.125,208.5,79.625,23.0
Airplane_Voando - tráss_4.mp4,1291.0,1,4.0,airplane,0.72021484375,211.5,209.625,79.5,22.75
Airplane_Voando - tráss_4.mp4,1292.0,1,4.0,airplane,0.67041015625,211.625,210.0,79.625,23.0
Airplane_Voando - tráss_4.mp4,1293.0,1,4.0,airplane,0.6259765625,212.75,212.0,79.0,22.25
Airplane_Voando - tráss_4.mp4,1294.0,1,4.0,airplane,0.693359375,213.0,211.5,80.5,23.0
Airplane_Voando - tráss_4.mp4,1295.0,1,4.0,airplane,0.60107421875,214.5,211.375,79.25,22.875
Airplane_Voando - tráss_4.mp4,1296.0,1,4.0,airplane,0.62890625,214.625,212.0,80.375,23.0
Airplane_Voando - tráss_4.mp4,1297.0,1,4.0,airplane,0.60302734375,216.0,213.625,79.25,21.5
Airplane_Voando - tráss_4.mp4,1298.0,1,4.0,airplane,0.587890625,216.0,213.625,79.0,21.625
Airplane_Voando - tráss_4.mp4,1299.0,1,4.0,airplane,0.5556640625,217.125,214.25,79.625,22.0
